timestamp,severity,message,data
2025-11-28T12:22:36.648043,high,Human detected in North Border Line,"{'class': 'person', 'zone': 'North Border Line'}"
2025-11-28T12:22:37.189872,high,Human detected in North Border Line,"{'class': 'person', 'zone': 'North Border Line'}"
2025-11-28T15:42:23.800043,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:24.017569,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:24.214652,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:24.383001,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:24.543703,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:24.710901,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:24.879552,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:25.042455,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:25.209424,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:25.366162,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:25.522138,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:25.680486,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:25.844803,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:26.007483,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:26.219557,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:26.409865,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:26.619934,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:26.780965,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:26.937446,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:27.096503,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:27.253103,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:27.409758,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:27.565986,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:27.732900,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:27.889792,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:28.044299,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:28.219436,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:28.403556,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:28.595142,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:28.785062,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:28.967423,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:29.181902,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:29.354394,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:29.522877,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:29.683606,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:30.265490,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:30.546259,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:30.758397,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:30.967311,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:31.147464,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:31.347059,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:31.727946,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:31.905717,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:32.092355,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
2025-11-28T15:42:32.259075,medium,Vehicle inside reserve zone Reserve Core,"{'class': 'airplane', 'zone': 'Reserve Core'}"
